Gene_symbol	Ensembl_ID	dominant_dir	GSE130970_model	GSE135251_model	GSE162694_model	GSE130970_coef_a	GSE135251_coef_a	GSE162694_coef_a	GSE130970_coef_b	GSE135251_coef_b	GSE162694_coef_b	GSE130970_coef_c	GSE135251_coef_c	GSE162694_coef_c	GSE130970_r2	GSE135251_r2	GSE162694_r2	GSE130970_delta_F4_F1	GSE135251_delta_F4_F1	GSE162694_delta_F4_F1
PIEZO1	ENSG00000103335	up	linear	linear	linear	0.00807039546655272	-0.014234502087251	-0.0507566059200647	0.00115276167349042	0.0163527240820099	0.0254446223111841	NA	NA	NA	0.0693586915691598	0.853455444063765	0.839130775148949	0.00345828502047127	0.0490581722460298	0.0763338669335522
PTK2	ENSG00000169398	down	linear	linear	linear	0.00599492586004523	0.00536101071868253	-0.00656837583353022	-0.00280532248117272	-0.00476467011492986	-0.000701195567496078	NA	NA	NA	0.835528301773602	0.994506413157375	0.0297575227339547	-0.00841596744351815	-0.0142940103447896	-0.00210358670248823
SMAD2	ENSG00000175387	up	power_law	power_law	power_law	0.00114125346553588	0.00563753296744983	2.36040119899156e-11	2.205996585417	0.473206434327506	15.4759343250206	NA	NA	NA	0.74432759254748	0.0990524386293696	0.986130910847342	0.0231541655950509	0.00522641698693131	0.0490260283338666
SRC	ENSG00000197122	up	power_law	linear	power_law	0.00728120928696232	0.0564029879260519	0.000121262177735436	1.84135431273949	0.0125666349322973	4.93764624631051	NA	NA	NA	0.867774294643207	0.795303619745439	0.991355700140782	0.0862182880153872	0.0376999047968919	0.113768482583948
SUV39H1	ENSG00000101945	down	power_law	linear	power_law	-0.00101874655295846	-0.00545863441380125	-0.0378284822611199	2.77767468703972	-0.00962538745889669	0.260566057953314	NA	NA	NA	0.53098138272866	0.721718440219806	0.13999983173243	-0.0468875887952006	-0.0288761623766901	-0.0164584518944283
SUZ12	ENSG00000178691	down	linear	linear	linear	0.00941354643000286	0.03028212385207	0.0173726121535501	-0.000572591959716486	-0.00671224253412997	-0.00198860960055693	NA	NA	NA	0.0208711930031396	0.33221519507667	0.237684509370752	-0.00171777587914946	-0.0201367276023899	-0.00596582880167078
SYNE2	ENSG00000054654	down	power_law	linear	linear	-0.00968831612526277	0.00400365497512993	-0.00278014344759923	0.295645166297265	-0.00286190165799586	-0.00216550664110074	NA	NA	NA	0.064009649021411	0.746878669871312	0.180477711834165	-0.00490803921394617	-0.00858570497398758	-0.00649651992330222
SYNE3	ENSG00000176438	down	sigmoid	linear	power_law	-0.0516564652495247	0.0017318391256274	-5.37640865168864e-06	3.11413584626553	-0.00606194742906539	6.97424445958005	2.90891756615965	NA	NA	0.999363645848954	0.778554123605626	0.960210439876866	-0.0498496264175087	-0.0181858422871962	-0.0849920605676942
TEAD2	ENSG00000074219	up	linear	power_law	linear	-0.0939884286143987	0.00314031621238547	-0.0899220878478609	0.0460557104865077	2.12746242942485	0.0395345622754253	NA	NA	NA	0.962802964202362	0.862814323644268	0.704976073509473	0.138167131459523	0.0568157862506416	0.118603686826276
TEAD4	ENSG00000197905	up	linear	power_law	power_law	-0.17140777088142	0.000131208467321445	0.000137397705244621	0.0657919352706988	5.14450189366955	5.4033919435291	NA	NA	NA	0.842339248348939	0.900782814506041	0.952013336948256	0.197375805812096	0.164026253136161	0.245981854030297
TMPO	ENSG00000120802	up	power_law	power_law	linear	2.31354825605508e-14	0.00046753867256301	-0.0256642507006773	20.2102521124337	0.591418356401315	0.0118649554945775	NA	NA	NA	0.803745041322245	0.00746057092839858	0.875436400359245	0.0340457396703494	0.000593880357995364	0.0355948664837326
TPR	ENSG00000047410	up	power_law	power_law	linear	1.89850509687172e-07	2.3668645708936e-06	-0.00629960906256306	6.74469733786686	6.4794163651142	0.00353510551070752	NA	NA	NA	0.0523641981058617	0.886657766732344	0.548356187244365	0.00218316431052479	0.0188415322048467	0.0106053165321225
VCL	ENSG00000035403	up	power_law	linear	power_law	8.37268651894506e-05	0.00246250629856676	0.000166940437143229	4.74902637573847	0.008349534781229	4.69679723854667	NA	NA	NA	0.900769072844156	0.96347504848641	0.993279262337669	0.0604592274935797	0.025048604343687	0.112116381037287
VIM	ENSG00000026025	up	sigmoid	power_law	power_law	0.27791150364374	0.00660101693266522	0.00581518203222438	1.01920409426132	1.90585114867373	2.26069914931738	4.43034493438123	NA	NA	0.997100365655327	0.930033440654051	0.989933397054137	0.100785290879334	0.0860921185007382	0.127733566973365
WWTR1	ENSG00000018408	up	sigmoid	linear	power_law	0.0529218774087091	0.00315718802324762	1.68027743663655e-10	1.66084839063499	0.00215344801883451	14.4215386040192	3.50272232044729	NA	NA	0.999915447289798	0.124520976854121	0.992967278274517	0.0359905448834342	0.00646034405650353	0.0809119003721497
YAP1	ENSG00000137693	up	sigmoid	linear	power_law	0.0399525768636126	0.00622482020978785	0.000214516517486684	2.56497878650586	0.00638626450676965	3.92138567262736	2.85880569220339	NA	NA	0.993049256355173	0.620569307698385	0.995249842301018	0.0375851620529899	0.0191587935203089	0.0490313929051769
