Gene_symbol	Ensembl_ID	dataset	model	aic	r2	coef_a	coef_b	coef_c	n_points
EMD	ENSG00000102119	GSE162694	power_law	-27.9981094670794	0.917340017460216	9.39666571395295e-10	13.3331748537268	NA	4
EP300	ENSG00000100393	GSE130970	linear	-34.5522042894719	0.508165758172361	0.0125517613623186	-0.00571726723831189	NA	4
EP300	ENSG00000100393	GSE135251	sigmoid	-35.318535860557	0.846553488961657	0.0154010073807011	-38.7172100064159	2.68748692616334	4
EP300	ENSG00000100393	GSE162694	linear	-36.150581196871	0.160443664384969	-0.00351894993903771	0.00201354228860852	NA	4
EZH2	ENSG00000106462	GSE130970	power_law	-26.8842876782821	0.425085223663855	3.86082770212615e-10	13.1238067456709	NA	4
EZH2	ENSG00000106462	GSE135251	sigmoid	-38.0428624874012	0.991667076480601	0.183929871813203	0.741844782635724	2.74861152898191	4
EZH2	ENSG00000106462	GSE162694	power_law	-20.0971853418214	0.279819392119878	-1.63075701544869e-07	8.52959518356646	NA	4
FERMT2	ENSG00000073712	GSE130970	power_law	-52.444605750495	0.995537917431859	-0.000180690907025702	3.5984641795399	NA	4
FERMT2	ENSG00000073712	GSE135251	linear	-36.4491485034474	0.887443201673215	0.0145740946601487	-0.0124594979157397	NA	4
FERMT2	ENSG00000073712	GSE162694	power_law	-27.6943136900777	0.12626816616526	-0.00887099727878903	0.597516117229205	NA	4
FLNA	ENSG00000196924	GSE130970	power_law	-29.4838930637427	0.886100547996713	0.0024649357119271	2.701550094876	NA	4
FLNA	ENSG00000196924	GSE135251	power_law	-33.2688186157047	0.933345592744808	0.00276933325134315	2.42192653860774	NA	4
FLNA	ENSG00000196924	GSE162694	power_law	-28.1371414274448	0.948219573396128	0.000221651784185589	4.63792743348059	NA	4
H3F3A	ENSG00000163041	GSE130970	sigmoid	-63.1350442478301	0.999431194095882	0.020433180116679	1.53696803525445	3.24327577734777	4
H3F3A	ENSG00000163041	GSE135251	power_law	-41.9661816604813	0.836560894650831	-2.51020637902498e-07	8.01495254986093	NA	4
H3F3A	ENSG00000163041	GSE162694	power_law	-33.513707600915	0.540254170985656	0.00918405345672801	0.804186137315633	NA	4
HDAC1	ENSG00000116478	GSE130970	linear	-42.414344844294	0.895118735826437	-0.0111405771601301	0.00615001265129066	NA	4
HDAC1	ENSG00000116478	GSE135251	power_law	-40.376064253366	0.468497246864404	2.13902608495368e-11	13.5477074054998	NA	4
HDAC1	ENSG00000116478	GSE162694	linear	-37.9702966038838	0.806376354408659	-0.0216683757090252	0.00748733976760443	NA	4
HDAC2	ENSG00000196591	GSE130970	linear	-41.4322596778339	0.818091057344209	-0.0101543813434623	0.0050474579682208	NA	4
HDAC2	ENSG00000196591	GSE135251	linear	-41.4081684249265	0.0908010006983719	0.00405055947318902	0.000754436329329708	NA	4
HDAC2	ENSG00000196591	GSE162694	power_law	-37.7944604131231	0.554329839229841	0.00753708477236059	0.673867546190774	NA	4
HDAC3	ENSG00000171720	GSE130970	power_law	-38.0910159737663	0.401653007987588	-0.00418851867311901	0.796724507157753	NA	4
HDAC3	ENSG00000171720	GSE135251	power_law	-46.8629266624172	0.9112479327942	-0.00523486010199987	0.822540756621346	NA	4
HDAC3	ENSG00000171720	GSE162694	power_law	-34.6324507038007	0.672703473429591	-0.0108298333263501	0.837712395775509	NA	4
HDAC5	ENSG00000108840	GSE130970	linear	-35.805148231476	0.859133937218179	-0.00689107904787063	-0.011876927180574	NA	4
HDAC5	ENSG00000108840	GSE135251	linear	-37.4563282868665	0.548699015159236	-0.00367174208661952	-0.00431393399444883	NA	4
