dataset	Ensembl_ID	Gene_symbol	histology_group	stage	mean_expr	sd_expr	n_samples
GSE130970	ENSG00000066135	KDM4A	F4	4	10.3604758225537	0.209878184501597	2
GSE130970	ENSG00000127663	KDM4B	F0	0	9.4064601463287	0.184762295101667	18
GSE130970	ENSG00000127663	KDM4B	F1	1	9.28806535929893	0.233165368526168	28
GSE130970	ENSG00000127663	KDM4B	F2	2	9.35618424445251	0.173068163993767	9
GSE130970	ENSG00000127663	KDM4B	F3	3	9.2567052390309	0.129169118323872	14
GSE130970	ENSG00000127663	KDM4B	F4	4	9.06914252616504	0.165271519072505	2
GSE130970	ENSG00000107077	KDM4C	F0	0	10.0980641254116	0.125922972197309	18
GSE130970	ENSG00000107077	KDM4C	F1	1	10.1370836856155	0.129985893268356	28
GSE130970	ENSG00000107077	KDM4C	F2	2	10.0718728186453	0.138373655461486	9
GSE130970	ENSG00000107077	KDM4C	F3	3	10.0218173161167	0.149014670754565	14
GSE130970	ENSG00000107077	KDM4C	F4	4	10.0633261564719	0.114258611447965	2
GSE130970	ENSG00000186280	KDM4D	F0	0	3.83486044306675	0.388138363584226	18
GSE130970	ENSG00000186280	KDM4D	F1	1	3.78833225910572	0.362618280125998	28
GSE130970	ENSG00000186280	KDM4D	F2	2	3.81029417053325	0.324388718746064	9
GSE130970	ENSG00000186280	KDM4D	F3	3	3.77548834410808	0.789142876659327	14
GSE130970	ENSG00000186280	KDM4D	F4	4	3.92140876063927	0.617333132185333	2
GSE130970	ENSG00000127528	KLF2	F0	0	4.96833583845274	0.534648903341221	18
GSE130970	ENSG00000127528	KLF2	F1	1	5.15410646871596	0.493262746832056	28
GSE130970	ENSG00000127528	KLF2	F2	2	4.94107117880921	0.493693103417556	9
GSE130970	ENSG00000127528	KLF2	F3	3	5.62081508298135	0.731885263168606	14
GSE130970	ENSG00000127528	KLF2	F4	4	5.33945763425254	0.0954621976352985	2
GSE130970	ENSG00000143815	LBR	F0	0	9.98024745882529	0.20611914079327	18
GSE130970	ENSG00000143815	LBR	F1	1	9.98855067925983	0.182819155144393	28
GSE130970	ENSG00000143815	LBR	F2	2	10.0170698424703	0.265268682608323	9
GSE130970	ENSG00000143815	LBR	F3	3	10.1933006763658	0.261146433928375	14
GSE130970	ENSG00000143815	LBR	F4	4	10.1129232717041	0.0539465367711359	2
GSE130970	ENSG00000161904	LEMD2	F0	0	8.7051994314366	0.135521570426719	18
GSE130970	ENSG00000161904	LEMD2	F1	1	8.72118795561314	0.141228511618605	28
GSE130970	ENSG00000161904	LEMD2	F2	2	8.75477856743007	0.138320955669616	9
GSE130970	ENSG00000161904	LEMD2	F3	3	8.64901865618935	0.134825403397524	14
GSE130970	ENSG00000161904	LEMD2	F4	4	8.65124989859905	0.0392096351996173	2
GSE130970	ENSG00000174106	LEMD3	F0	0	9.42219411101167	0.151259490551655	18
GSE130970	ENSG00000174106	LEMD3	F1	1	9.38933051601552	0.153670837706369	28
GSE130970	ENSG00000174106	LEMD3	F2	2	9.36036638821003	0.0998283196284034	9
GSE130970	ENSG00000174106	LEMD3	F3	3	9.35306763175908	0.137149607800816	14
GSE130970	ENSG00000174106	LEMD3	F4	4	9.41699322446179	0.209220122089001	2
GSE130970	ENSG00000160789	LMNA	F0	0	10.0763353476916	0.229741348847166	18
GSE130970	ENSG00000160789	LMNA	F1	1	10.2202437353213	0.131576686971387	28
GSE130970	ENSG00000160789	LMNA	F2	2	10.1866201528972	0.114950245684225	9
GSE130970	ENSG00000160789	LMNA	F3	3	10.0235819452063	0.237031376277826	14
GSE130970	ENSG00000160789	LMNA	F4	4	10.4202544965006	0.241322621268331	2
GSE130970	ENSG00000113368	LMNB1	F0	0	7.40713285600061	0.380807999594365	18
GSE130970	ENSG00000113368	LMNB1	F1	1	7.46242070654132	0.338510137148484	28
GSE130970	ENSG00000113368	LMNB1	F2	2	7.59897557272779	0.314391059953215	9
GSE130970	ENSG00000113368	LMNB1	F3	3	7.33816554280371	0.45733568999477	14
GSE130970	ENSG00000113368	LMNB1	F4	4	7.86392039697134	0.0390044268190714	2
GSE130970	ENSG00000176619	LMNB2	F0	0	6.97739829334942	0.342379312535136	18
GSE130970	ENSG00000176619	LMNB2	F1	1	7.07258845735647	0.340213454491909	28
GSE130970	ENSG00000176619	LMNB2	F2	2	6.95155138459332	0.362224734132445	9
GSE130970	ENSG00000176619	LMNB2	F3	3	7.03199104815385	0.310570720135262	14
GSE130970	ENSG00000176619	LMNB2	F4	4	7.37614657299227	0.154243358350803	2
GSE130970	ENSG00000113083	LOX	F0	0	5.81779731600135	0.579167036989133	18
GSE130970	ENSG00000113083	LOX	F1	1	6.08653435799504	0.356104587710511	28
GSE130970	ENSG00000113083	LOX	F2	2	5.8893430564521	0.410515080179157	9
GSE130970	ENSG00000113083	LOX	F3	3	6.39853879914712	0.931431934529099	14
GSE130970	ENSG00000113083	LOX	F4	4	7.12332825874823	0.470700784524929	2
GSE130970	ENSG00000157193	LRP8	F0	0	5.74500156667901	0.466735760481501	18
GSE130970	ENSG00000157193	LRP8	F1	1	5.76328774674018	0.532403268783005	28
GSE130970	ENSG00000157193	LRP8	F2	2	5.72542325405363	0.487891416780985	9
GSE130970	ENSG00000157193	LRP8	F3	3	5.67588993866297	0.485505815020986	14
GSE130970	ENSG00000157193	LRP8	F4	4	5.82186370691409	0.159446395921524	2
GSE130970	ENSG00000196588	MKL1	F0	0	7.61917133669303	0.313710195661332	18
GSE130970	ENSG00000196588	MKL1	F1	1	7.72843624575223	0.216443012408499	28
GSE130970	ENSG00000196588	MKL1	F2	2	7.78099891414421	0.158409217780167	9
GSE130970	ENSG00000196588	MKL1	F3	3	7.86286975762007	0.310770142453658	14
GSE130970	ENSG00000196588	MKL1	F4	4	7.94567761410468	0.38578419954293	2
GSE130970	ENSG00000186260	MKL2	F0	0	10.1819873894097	0.195352123145157	18
GSE130970	ENSG00000186260	MKL2	F1	1	10.2259644169316	0.158266884029709	28
GSE130970	ENSG00000186260	MKL2	F2	2	10.1841250758683	0.117094094875612	9
GSE130970	ENSG00000186260	MKL2	F3	3	10.2190180704748	0.239253650872065	14
GSE130970	ENSG00000186260	MKL2	F4	4	10.1033491308535	0.119177453124959	2
GSE130970	ENSG00000133026	MYH10	F0	0	10.87796654172	0.186443787662255	18
GSE130970	ENSG00000133026	MYH10	F1	1	10.8407193377386	0.325961871680599	28
GSE130970	ENSG00000133026	MYH10	F2	2	10.8938700468433	0.238708068924012	9
GSE130970	ENSG00000133026	MYH10	F3	3	11.0539244410158	0.358502070932122	14
GSE130970	ENSG00000133026	MYH10	F4	4	11.2155758564154	0.309692254816996	2
GSE130970	ENSG00000100345	MYH9	F0	0	12.8465184063454	0.124274587497889	18
GSE130970	ENSG00000100345	MYH9	F1	1	12.9343283596875	0.140814374512139	28
GSE130970	ENSG00000100345	MYH9	F2	2	12.9455256042198	0.0767683681724627	9
GSE130970	ENSG00000100345	MYH9	F3	3	12.9189237425861	0.304813718819409	14
GSE130970	ENSG00000100345	MYH9	F4	4	13.1490735257735	0.124280553577616	2
GSE130970	ENSG00000101335	MYL9	F0	0	7.85403746961175	0.333292006678204	18
GSE130970	ENSG00000101335	MYL9	F1	1	7.77156325041323	0.712520651926239	28
GSE130970	ENSG00000101335	MYL9	F2	2	7.88912540280453	0.396376040411876	9
GSE130970	ENSG00000101335	MYL9	F3	3	8.25239237829579	0.664821464413178	14
GSE130970	ENSG00000101335	MYL9	F4	4	9.12338099331107	0.559278577994571	2
GSE130970	ENSG00000065534	MYLK	F0	0	12.4916768487539	0.222582144271937	18
GSE130970	ENSG00000065534	MYLK	F1	1	12.580538631892	0.279265677285656	28
