Ensembl_ID	baseMean	stat_lrt	pvalue_lrt	padj_lrt	Gene_symbol
ENSG00000180353	516.5578145286006	6.557301001783344	0.16121557337553963	0.23937199504025855	HCLS1
ENSG00000180354	191.4103487390608	20.482458364752347	4.009631676885155e-4	0.0016437353304175732	MTURN
ENSG00000180357	806.3209951958527	26.93551357006254	2.0484659241772265e-5	1.1969264184812756e-4	ZNF609
ENSG00000180370	1411.0698719159848	1.8052531237153744	0.7715211222887035	0.8092906928773077	PAK2
ENSG00000180376	321.98470176379845	6.5199850998133115	0.16353550790788382	0.24191742836478583	CCDC66
ENSG00000180398	4150.163513395942	21.184474796945324	2.910831146689473e-4	0.0012441107938072783	MCFD2
ENSG00000180423	55.68160941927201	12.655962215852014	0.01308510055044186	0.0315385475895776	HARBI1
ENSG00000180425	233.41303415836626	33.30728129902127	1.0333561876473444e-6	8.268896764552005e-6	C11orf71
ENSG00000180432	10507.918016407519	3.1357271937995392	0.5353742044824698	0.6098502184036368	CYP8B1
ENSG00000180440	3.038782090803669	10.889406356117433	0.02783545816819592	0.05821484299875382	SERTM1
ENSG00000180447	38.72201154852415	26.636712703426383	2.353989358662152e-5	1.3563142681364382e-4	GAS1
ENSG00000180448	161.1045009072427	3.4333453667168214	0.48808542850255776	0.5683249140819692	ARHGAP45
ENSG00000180479	151.3717271434675	6.861081203914637	0.14341410516139716	0.2180704266341207	ZNF571
ENSG00000180481	119.94250922044044	15.411991691183175	0.003918744803475785	0.011526428183287389	GLIPR1L2
ENSG00000180488	508.29936704276	2.953967674119667	0.5655581203512389	0.6364252275819889	MIGA1
ENSG00000180509	62.93350081595345	10.494833819796895	0.03286822721454571	0.06646217447243127	KCNE1
ENSG00000180530	1902.3958703836108	11.258593375530836	0.02380646802497055	0.05132336501353406	NRIP1
ENSG00000180532	4.406380051361559	6.037657732978687	0.19635356671284224	0.2791033102069927	ZSCAN4
ENSG00000180537	6.7202662224416345	9.489165316213757	0.04997035278011663	0.09371108758160931	RNF182
ENSG00000180539	12.800356702402473	5.12553367013561	0.27465778039188293	0.36267847159879535	LINC02908
ENSG00000180543	66.30381493480553	17.660826322753564	0.0014373815374167937	0.004911661615589196	TSPYL5
ENSG00000180573	856.2660029506269	21.00848006491833	3.1544558391375386e-4	0.0013362188919010505	H2AC6
ENSG00000180592	202.71947394908705	45.4109428783031	3.2657853888980404e-9	4.190788621369082e-8	SKIDA1
ENSG00000180611	17.63035913799655	98.64731855682021	1.9088823455311794e-20	9.698082759245829e-19	MB21D2
ENSG00000180616	27.246723352829207	39.45374226425656	5.613871523106385e-8	5.791679969815246e-7	SSTR2
ENSG00000180626	183.65687497510302	17.264937581097	0.0017167381156885063	0.005711618821471068	ZNF594
ENSG00000180628	1428.9970491183255	4.618266479041267	0.3287535340469316	0.4183491550953613	PCGF5
ENSG00000180638	35.40504596503308	37.89235625224819	1.1793401382512094e-7	1.1443495059211133e-6	SLC47A2
ENSG00000180644	95.48453350911613	2.8981239274735344	0.5750163036352567	0.6447781372523047	PRF1
ENSG00000180660	3.88347870661779	2.9747698264091014	0.5620564494492775	0.6333171157786591	MAB21L1
ENSG00000180667	260.11404588216925	3.5620984239913014	0.4684991736578918	0.5510390688422321	YOD1
ENSG00000180694	649.661877864702	10.945341257823202	0.02718522003363326	0.057084015448840515	TMEM64
ENSG00000180697	10.259327218155013	24.85586828794885	5.378064202270008e-5	2.8329965846714787e-4	C3orf22
ENSG00000180730	8.296559742299364	12.10829251122209	0.01656388277698061	0.038284133067939735	SHISA2
ENSG00000180739	14.837552825608173	8.381000469660194	0.07857747816586155	0.13528322008180513	S1PR5
ENSG00000180745	607.6461781523359	13.619973027952256	0.008612132820372535	0.02233217358351878	CLRN3
ENSG00000180758	264.4202449534075	10.800154661741544	0.02890423202799976	0.05996876494726649	GPR157
ENSG00000180764	30.00118848189865	19.36018751748361	6.676729191450254e-4	0.0025507031642721754	PIPSL
ENSG00000180767	265.67166636316654	10.744153138171896	0.029594961237114012	0.061103666932500196	CHST13
ENSG00000180773	149.73623235115713	10.714514950437206	0.029966942982125818	0.061729686448964004	SLC36A4
