Ensembl_ID	Gene_symbol	baseMean	padj_lrt	sig_lrt	n_baseline_sig	baseline_dirs	first_stage_diff	baseline_hits	n_strata_sig	strata_dirs	strata_hits	class
ENSG00000187122	SLIT1	5.862723823285642	7.537458203651966e-4	TRUE	1	down	3	F3_vs_F0	1	down	F3_vs_F1	baseline_and_strata
ENSG00000115457	IGFBP2	1051.3009735658566	7.711561686585407e-4	TRUE	1	up	4	F4_vs_F0	1	up	F4_vs_F1	baseline_and_strata
ENSG00000169026	SLC49A3	84.81828048073038	7.781369549399244e-4	TRUE	1	up	4	F4_vs_F0	1	up	F4_vs_F1	baseline_and_strata
ENSG00000198812	LRRC10	10.345562390831887	7.814955201679548e-4	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000189030	VHLL	5.715205462481891	7.885890191562308e-4	TRUE	1	down	4	F4_vs_F0	3	down	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000204446	LINC02872	2.5065713427946386	7.896042580481939e-4	TRUE	1	down	4	F4_vs_F0	3	down	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000136110	CNMD	3.0605036767089513	8.069450962375657e-4	TRUE	1	down	4	F4_vs_F0	3	down	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000139656	SMIM2	10.443340295095158	8.130065365358778e-4	TRUE	1	down	4	F4_vs_F0	3	down	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000164588	HCN1	4.8008313239081195	8.991258650343245e-4	TRUE	1	up	4	F4_vs_F0	2	up	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000139899	CBLN3	183.58516822142377	9.073618090580141e-4	TRUE	1	down	4	F4_vs_F0	1	down	F4_vs_F1	baseline_and_strata
ENSG00000185823	NPAP1	101.0939079687744	9.360681563071657e-4	TRUE	1	down	4	F4_vs_F0	3	down	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000060718	COL11A1	8.621300484206872	9.384226074334739e-4	TRUE	1	up	3	F3_vs_F0	2	up	F3_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000143333	RGS16	40.66060717724241	9.505224968152381e-4	TRUE	1	up	4	F4_vs_F0	2	up	F4_vs_F1,F4_vs_F3	baseline_and_strata
ENSG00000184434	LRRC19	121.71869972094795	9.646588652236363e-4	TRUE	2	down	3	F3_vs_F0,F4_vs_F0	3	down	F3_vs_F1,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000136002	ARHGEF4	30.655045397152783	9.670806225029915e-4	TRUE	1	down	2	F2_vs_F0	1	up	F4_vs_F2	baseline_and_strata
ENSG00000130045	NXNL2	131.72881627035872	9.704754073115433e-4	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
