Ensembl_ID	Gene_symbol	contrast	type	dir	baseMean	log2FC	lfcSE	padj	n_ds_tested	n_ds_same_dir
ENSG00000128245	YWHAH	F4_vs_F0	baseline	up	660.0863771235346	0.6043252083509648	0.0863481613010313	8.248541242956027e-11	3	3
ENSG00000145794	MEGF10	F4_vs_F0	baseline	down	34.529182330555585	-1.1763423098737584	0.1680897219675501	8.256027341256563e-11	3	3
ENSG00000164181	ELOVL7	F4_vs_F0	baseline	up	41.798359022503355	1.3302820888193352	0.1901205320281886	8.313841574907131e-11	3	3
ENSG00000168502	MTCL1	F4_vs_F0	baseline	up	85.89436305373822	0.8815524279397162	0.12608413540230853	8.598221131723438e-11	3	3
ENSG00000133107	TRPC4	F4_vs_F0	baseline	up	7.0242891649148165	2.146780855631159	0.30712017015128945	8.688732515566076e-11	3	3
ENSG00000067715	SYT1	F4_vs_F0	baseline	down	51.57656986952156	-0.9347481581716705	0.13373434627968578	8.699376663099983e-11	3	3
ENSG00000196557	CACNA1H	F4_vs_F0	baseline	down	1166.9179686659022	-1.3513687327901085	0.19346932488969812	8.940953266371048e-11	3	3
ENSG00000111424	VDR	F4_vs_F0	baseline	up	24.045321953197952	1.043427132590183	0.14941886522377235	9.031646935098653e-11	3	3
ENSG00000133134	BEX2	F4_vs_F0	baseline	up	9.765117872264375	1.4217142077069098	0.20379205159003155	9.47042296242333e-11	3	3
ENSG00000130635	COL5A1	F4_vs_F0	baseline	up	334.1517921293714	1.1874058067133932	0.17047762984035297	1.0210517204861841e-10	3	3
ENSG00000166086	JAM3	F4_vs_F0	baseline	up	115.32673682819582	0.7234007863413479	0.1038954173706977	1.0365502717942112e-10	3	3
ENSG00000206535	LNP1	F4_vs_F0	baseline	down	141.8668106005602	-0.601834727526345	0.0864724982449716	1.0563732372748065e-10	3	3
ENSG00000104938	CLEC4M	F4_vs_F0	baseline	down	828.0156076772153	-1.1850662803243586	0.17045315584988105	1.1111350564020602e-10	3	3
ENSG00000019505	SYT13	F4_vs_F0	baseline	up	22.80324014513228	1.5470751483520548	0.22253325230771234	1.111669820601164e-10	3	3
ENSG00000149218	ENDOD1	F4_vs_F0	baseline	up	272.32397185774533	0.6668840530438923	0.0959651800816929	1.1324210058302803e-10	3	3
ENSG00000034510	TMSB10	F4_vs_F0	baseline	up	1644.0496252635432	0.8579664404538672	0.12349034943650235	1.1430707669205985e-10	3	3
ENSG00000112149	CD83	F4_vs_F0	baseline	up	90.13178245360116	1.025682481978114	0.14766495822297407	1.154135620149003e-10	3	3
ENSG00000057657	PRDM1	F4_vs_F0	baseline	up	63.74733207337808	1.0619678721554477	0.15295271365342406	1.1758446804525693e-10	3	3
ENSG00000128045	RASL11B	F4_vs_F0	baseline	up	14.371740558050579	1.4157960176083904	0.20398307050654974	1.1911359000788384e-10	3	3
ENSG00000112486	CCR6	F4_vs_F0	baseline	up	10.274684828607212	2.119728571463463	0.3058025334411228	1.2652199982597933e-10	2	2
